time,temperature,humidity,microphone
2024-12-07 03:54:22.605451625+00:00,24.1,30,4.96
2024-12-07 03:54:42.706239255+00:00,24,30,5.8
2024-12-07 03:55:02.796969056+00:00,24.1,30,3.4
2024-12-07 03:55:22.928044776+00:00,24,30,6.16
2024-12-07 03:55:42.997436105+00:00,24,30,2.44
2024-12-07 03:56:03.087174230+00:00,24,30,1.88
2024-12-07 03:56:23.132661604+00:00,24.1,30,10.24
2024-12-07 03:56:43.254225420+00:00,24.1,30,4.6
2024-12-07 03:57:03.345915393+00:00,24.1,30,14.92
2024-12-07 03:57:23.446434965+00:00,24,30,3.2
2024-12-07 03:57:43.523949427+00:00,24.1,30,14.48
2024-12-07 03:58:03.625779874+00:00,24.1,30,3.08
2024-12-07 03:58:23.676653803+00:00,24.1,30,29.8
2024-12-07 03:58:43.765915054+00:00,24.1,30,8.48
2024-12-07 03:59:03.872863097+00:00,24.1,30,10.52
2024-12-07 03:59:24.009383069+00:00,24.1,30,1.6
2024-12-07 03:59:44.118854983+00:00,24.1,30,7.88
2024-12-07 04:00:04.217751013+00:00,24.2,30,14.6
2024-12-07 04:00:24.317383281+00:00,24.1,30,5.48
2024-12-07 04:00:44.475742420+00:00,24.2,30,13.04
2024-12-07 04:01:04.508665286+00:00,24.1,30,15.36
2024-12-07 04:01:24.572819439+00:00,24.2,30,2.68
2024-12-07 04:01:44.612248974+00:00,24.1,30,5.76
2024-12-07 04:02:04.686523646+00:00,24.2,30,3.04
2024-12-07 04:02:24.774857018+00:00,24.2,30,4.68
2024-12-07 04:02:44.897910121+00:00,24.2,30,29.76
2024-12-07 04:03:04.984377185+00:00,24.2,30,7.36
2024-12-07 04:03:25.061752891+00:00,24.2,30,3.64
2024-12-07 04:03:45.142738051+00:00,24.2,30,8.48
2024-12-07 04:04:05.235952193+00:00,24.2,30,5.24
2024-12-07 04:04:25.311579820+00:00,24.2,30,7.12
2024-12-07 04:04:45.431092751+00:00,24.2,30,3.04
2024-12-07 04:05:05.532499588+00:00,24.2,30,3.44
2024-12-07 04:05:25.657463101+00:00,24.1,30,3.44
2024-12-07 04:05:45.739525418+00:00,24.2,30,8.6
2024-12-07 04:06:05.875804539+00:00,24.1,29,18.4
2024-12-07 04:06:25.949028801+00:00,24.1,29,13.44
2024-12-07 04:06:46.092545480+00:00,24.1,29,12.84
2024-12-07 04:07:06.230997451+00:00,24.2,29,17.68
2024-12-07 04:07:26.343409092+00:00,24.1,29,3.68
2024-12-07 04:07:46.472748188+00:00,24.1,29,1.32
2024-12-07 04:08:06.556501926+00:00,24.1,29,5.36
2024-12-07 04:08:26.644300638+00:00,24.1,29,13.04
2024-12-07 04:08:46.705803701+00:00,24,29,5.96
2024-12-07 04:09:06.774789704+00:00,24.1,29,6
2024-12-07 04:09:26.850702332+00:00,24.1,29,3.52
2024-12-07 04:09:46.953570479+00:00,24.1,29,6.2
2024-12-07 04:10:07.073281662+00:00,24.1,29,2.08
2024-12-07 04:10:27.192942367+00:00,24.1,29,5.6
2024-12-07 04:10:47.285492437+00:00,24.1,29,12.24
2024-12-07 04:11:07.420381340+00:00,24.1,29,11
2024-12-07 04:11:27.522126330+00:00,24.1,29,1.24
2024-12-07 04:11:47.625331742+00:00,24.1,29,11.84
2024-12-07 04:12:07.747524756+00:00,24.2,29,9.72
2024-12-07 04:12:27.894749184+00:00,24.1,29,1.76
2024-12-07 04:12:48.019123256+00:00,24.2,29,10.96
2024-12-07 04:13:08.144389176+00:00,24.1,29,5.4
2024-12-07 04:13:28.224335544+00:00,24.1,29,14.44
2024-12-07 04:13:48.322116865+00:00,24.1,29,12.64
2024-12-07 04:14:08.397852555+00:00,24.1,29,4.76
2024-12-07 04:14:28.490340792+00:00,24,29,5.04
2024-12-07 04:14:48.591420949+00:00,24.1,29,2.36
2024-12-07 04:15:08.720933738+00:00,24,29,19.2
2024-12-07 04:15:28.865197440+00:00,24.1,29,16.92
2024-12-07 04:15:48.993399859+00:00,24.1,29,2.16
2024-12-07 04:16:09.155968602+00:00,24.1,29,4.68
2024-12-07 04:16:29.270585275+00:00,24.2,29,2.96
2024-12-07 04:16:49.407692746+00:00,24.1,29,10.56
2024-12-07 04:17:09.512999656+00:00,24.1,29,3.08
2024-12-07 04:17:29.659076253+00:00,24.1,29,13.56
2024-12-07 04:17:49.780537947+00:00,24,29,7.6
2024-12-07 04:18:09.922879010+00:00,24.1,29,1.88
2024-12-07 04:18:30.066267082+00:00,24.1,29,11.08
2024-12-07 04:18:50.190494418+00:00,24.1,29,5.24
2024-12-07 04:19:10.323939467+00:00,24,29,9.92
2024-12-07 04:19:30.440386133+00:00,24,29,1.88
